# [LF, 4, 104.0, 3.0, 200.0, 1.8, 40.0, 60.0, 300.0, 42.0, 11015808.57] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
457,"[206, 0]",1,41,18,0
458,"[207, 0]",1,2,1,0
459,"[208, 0]",1,0,0,0
460,"[208, 1]",2,0,0,0
461,"[208, 2]",38,2,1,0
462,"[208, 3]",36,0,0,0
463,"[208, 4]",59,0,0,0
464,"[208, 5]",57,0,0,0
465,"[208, 6]",56,0,0,0
466,"[208, 7]",113,2,1,0
467,"[208, 8]",112,0,0,0
468,"[208, 9]",111,2,1,0
469,"[208, 10]",107,0,0,0
470,"[208, 11]",90,57,26,0
471,"[208, 12]",183,2,1,0
472,"[208, 13]",159,2,1,0
473,"[209, 0]",1,0,0,0
474,"[209, 1]",6,2,1,0
475,"[209, 2]",4,0,0,0
476,"[209, 3]",34,158,64,0
477,"[209, 4]",32,158,64,0
478,"[209, 5]",31,158,64,0
479,"[210, 0]",1,2,1,0
480,"[211, 0]",1,0,0,0
481,"[211, 1]",2,0,0,0
482,"[211, 2]",43,0,0,0
483,"[211, 3]",41,0,0,0
484,"[211, 4]",40,0,0,0
485,"[211, 5]",71,0,0,0
486,"[211, 6]",65,2,1,0
487,"[211, 7]",50,2,1,0
488,"[211, 8]",118,41,18,0
489,"[212, 0]",1,0,0,0
490,"[212, 1]",6,158,64,0
491,"[212, 2]",4,41,18,0
492,"[212, 3]",3,0,0,0
493,"[212, 4]",28,158,64,0
494,"[213, 0]",1,158,64,0
495,"[214, 0]",1,158,64,0
496,"[215, 0]",1,158,64,0
497,"[216, 0]",1,41,18,0
498,"[217, 0]",1,0,0,0
499,"[217, 1]",2,0,0,0
500,"[217, 2]",30,158,64,0
501,"[218, 0]",1,0,0,0
502,"[218, 1]",6,156,64,0
503,"[218, 2]",3,0,0,0
504,"[218, 3]",2,0,0,0
505,"[218, 4]",62,2,1,10
506,"[218, 5]",61,0,0,4
507,"[218, 6]",60,158,64,1
508,"[218, 7]",59,0,0,-1
509,"[218, 8]",54,0,0,0
510,"[218, 9]",52,0,0,0
511,"[218, 10]",135,158,64,0
512,"[218, 11]",121,13,6,0
513,"[218, 12]",87,158,64,4
514,"[218, 13]",79,156,64,-1
515,"[219, 0]",1,57,26,0
516,"[220, 0]",1,41,18,0
517,"[221, 0]",1,0,0,0
518,"[221, 1]",7,158,64,0
519,"[221, 2]",5,158,64,0
520,"[221, 3]",4,158,64,0
521,"[221, 4]",3,0,0,0
522,"[221, 5]",2,0,0,0
523,"[221, 6]",37,156,64,0
524,"[221, 7]",36,156,64,0
525,"[221, 8]",32,158,64,3
526,"[222, 0]",1,41,18,0
527,"[223, 0]",1,2,1,0
528,"[224, 0]",1,0,0,0
529,"[224, 1]",7,158,64,0
530,"[224, 2]",4,0,0,0
531,"[224, 3]",3,0,0,0
532,"[224, 4]",2,0,0,0
533,"[224, 5]",50,0,0,0
534,"[224, 6]",47,2,1,0
