# [LF, 3,  200.0,  10.0,  360, 0.0,  0.0,  3.5,  300.0,  42.0,  4702964.] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
463,"[197, 0]",1,0,0,0
464,"[197, 1]",2,41,18,0
465,"[198, 0]",1,0,0,0
466,"[198, 1]",2,0,0,0
467,"[198, 2]",81,2,1,0
468,"[199, 0]",1,57,26,0
469,"[200, 0]",1,158,64,0
470,"[201, 0]",1,41,18,0
471,"[202, 0]",1,0,0,0
472,"[202, 1]",2,37,18,0
473,"[203, 0]",1,2,1,0
474,"[204, 0]",1,41,18,0
475,"[205, 0]",1,158,64,1
476,"[206, 0]",1,57,26,0
477,"[207, 0]",1,41,18,0
478,"[208, 0]",1,0,0,0
479,"[208, 1]",2,0,0,0
480,"[208, 2]",38,2,1,0
481,"[208, 3]",36,0,0,0
482,"[208, 4]",63,0,0,0
483,"[208, 5]",61,0,0,0
484,"[208, 6]",60,0,0,0
485,"[208, 7]",118,2,1,0
486,"[208, 8]",109,2,1,0
487,"[208, 9]",91,2,1,0
488,"[209, 0]",1,0,0,0
489,"[209, 1]",6,57,26,0
490,"[209, 2]",4,0,0,0
491,"[209, 3]",22,41,18,0
492,"[209, 4]",21,0,0,0
493,"[209, 5]",43,41,18,0
494,"[210, 0]",1,2,1,0
495,"[211, 0]",1,0,0,0
496,"[211, 1]",6,41,18,0
497,"[211, 2]",3,0,0,0
498,"[211, 3]",2,0,0,0
499,"[211, 4]",64,0,0,0
500,"[211, 5]",62,0,0,0
501,"[211, 6]",61,0,0,0
502,"[211, 7]",53,0,0,0
503,"[211, 8]",154,55,26,0
504,"[211, 9]",95,0,0,0
505,"[211, 10]",86,41,18,0
506,"[211, 11]",73,37,18,0
507,"[211, 12]",257,41,18,0
508,"[212, 0]",1,0,0,0
509,"[212, 1]",6,2,1,0
510,"[212, 2]",4,2,1,0
511,"[212, 3]",3,0,0,0
512,"[212, 4]",27,41,18,0
513,"[213, 0]",1,158,64,0
514,"[214, 0]",1,158,64,0
515,"[215, 0]",1,158,64,0
516,"[216, 0]",1,41,18,0
517,"[217, 0]",1,0,0,0
518,"[217, 1]",2,0,0,0
519,"[217, 2]",30,41,18,0
520,"[218, 0]",1,0,0,0
521,"[218, 1]",6,156,64,0
522,"[218, 2]",3,0,0,0
523,"[218, 3]",2,0,0,0
524,"[218, 4]",62,2,1,10
525,"[218, 5]",61,0,0,4
526,"[218, 6]",60,158,64,1
527,"[218, 7]",59,0,0,-1
528,"[218, 8]",54,0,0,0
529,"[218, 9]",52,0,0,0
530,"[218, 10]",135,158,64,0
531,"[218, 11]",121,158,64,0
532,"[218, 12]",87,41,18,3
533,"[218, 13]",79,158,64,-1
534,"[219, 0]",1,57,26,0
535,"[220, 0]",1,0,0,0
536,"[220, 1]",2,41,18,0
537,"[221, 0]",1,0,0,0
538,"[221, 1]",7,57,26,0
539,"[221, 2]",5,41,18,0
540,"[221, 3]",4,2,1,0
541,"[221, 4]",3,0,0,0
542,"[221, 5]",2,0,0,0
543,"[221, 6]",33,57,26,0
544,"[221, 7]",32,0,0,0
545,"[221, 8]",29,0,0,0
546,"[221, 9]",80,54,24,6
547,"[221, 10]",68,57,26,0
548,"[222, 0]",1,41,18,0
549,"[223, 0]",1,0,0,0
550,"[223, 1]",2,2,1,0
551,"[224, 0]",1,0,0,0
552,"[224, 1]",7,158,64,0
553,"[224, 2]",4,0,0,0
554,"[224, 3]",3,0,0,0
555,"[224, 4]",2,0,0,0
556,"[224, 5]",44,156,64,0
557,"[224, 6]",43,2,1,0
558,"[224, 7]",38,0,0,0
559,"[224, 8]",35,0,0,0
560,"[224, 9]",115,158,64,0
561,"[224, 10]",96,2,1,0
562,"[225, 0]",1,55,26,0
563,"[226, 0]",1,41,18,0
564,"[227, 0]",1,0,0,0
565,"[227, 1]",2,0,0,0
566,"[227, 2]",23,41,18,0
567,"[228, 0]",1,0,0,0
568,"[228, 1]",7,0,0,0
569,"[228, 2]",3,0,0,0
570,"[228, 3]",2,0,0,0
571,"[228, 4]",62,0,0,0
572,"[228, 5]",60,0,0,0
573,"[228, 6]",59,0,0,0
574,"[228, 7]",57,0,0,0
575,"[228, 8]",55,57,26,0
576,"[228, 9]",54,0,0,0
577,"[228, 10]",35,158,64,1
578,"[228, 11]",117,158,64,5
579,"[228, 12]",96,158,64,5
580,"[228, 13]",93,158,64,0
581,"[228, 14]",92,59,28,0
582,"[228, 15]",90,0,0,0
583,"[228, 16]",86,0,0,0
584,"[228, 17]",82,156,64,-1
585,"[228, 18]",341,55,26,2
586,"[228, 19]",306,156,64,0
587,"[229, 0]",1,59,28,0
588,"[230, 0]",1,2,1,0
589,"[231, 0]",1,41,18,0
590,"[232, 0]",1,0,0,0
591,"[232, 1]",6,0,0,0
592,"[232, 2]",5,158,64,0
593,"[232, 3]",3,0,0,0
594,"[232, 4]",2,57,26,0
595,"[232, 5]",40,0,0,0
596,"[232, 6]",39,57,26,0
597,"[232, 7]",23,2,1,14
598,"[232, 8]",96,158,64,0
599,"[233, 0]",1,156,64,0
600,"[234, 0]",1,158,64,0
601,"[235, 0]",1,41,18,0
602,"[236, 0]",1,0,0,0
603,"[236, 1]",2,41,18,0
604,"[237, 0]",1,0,0,0
605,"[237, 1]",2,41,18,0
606,"[238, 0]",1,41,18,0
607,"[239, 0]",1,156,64,1
608,"[240, 0]",1,64,29,0
609,"[241, 0]",1,0,0,0
610,"[241, 1]",2,158,64,1
611,"[242, 0]",1,0,0,0
612,"[242, 1]",4,0,0,-1
613,"[242, 2]",2,0,0,-1
614,"[242, 3]",52,0,0,-1
615,"[242, 4]",47,2,1,3
616,"[242, 5]",72,0,0,3
617,"[242, 6]",151,158,64,0
618,"[243, 0]",1,41,18,0
619,"[244, 0]",1,0,0,0
620,"[244, 1]",2,41,18,2
621,"[245, 0]",1,0,0,0
622,"[245, 1]",2,158,64,0
623,"[246, 0]",1,41,18,0
624,"[247, 0]",1,156,64,0
625,"[248, 0]",1,2,1,0
626,"[249, 0]",1,2,1,0
627,"[250, 0]",1,2,1,0
628,"[251, 0]",1,0,0,0
629,"[251, 1]",2,0,0,0
630,"[251, 2]",15,158,64,0
631,"[252, 0]",1,0,0,0
632,"[252, 1]",5,2,1,0
633,"[252, 2]",3,0,0,0
634,"[252, 3]",2,0,0,0
635,"[252, 4]",30,41,18,0
636,"[252, 5]",24,41,18,0
637,"[253, 0]",1,41,18,0
638,"[254, 0]",1,41,18,0
639,"[255, 0]",1,0,0,0
640,"[255, 1]",2,41,18,0
641,"[256, 0]",1,41,18,0
642,"[257, 0]",1,0,0,0
643,"[257, 1]",7,41,18,0
644,"[257, 2]",6,0,0,0
645,"[257, 3]",5,41,18,0
646,"[257, 4]",4,41,18,0
647,"[257, 5]",2,0,0,0
648,"[257, 6]",54,41,18,0
649,"[257, 7]",41,2,1,0
650,"[258, 0]",1,41,18,0
651,"[259, 0]",1,2,1,0
652,"[260, 0]",1,59,28,0
653,"[261, 0]",1,41,18,0
654,"[262, 0]",1,41,18,0
655,"[263, 0]",1,158,64,0
656,"[264, 0]",1,41,18,0
657,"[265, 0]",1,0,0,0
658,"[265, 1]",2,0,0,0
659,"[265, 2]",30,0,0,4
660,"[265, 3]",44,54,24,0
