# LF noise: mean = 0.002058237853827891 +- 0.00025716106577061736
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Theta_deg,Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
20,LF,4.0,176.0,16.0,204,1.7647058823529411,14.0,140.0,300.0,42.0,140793973.49,32,5.656854249492381,0.00029747794479924886,5.259498918496323e-05,0.010757574729004713,0.0019143149113025684,0.0018909679201787012,50000,114472
21,LF,4.0,247.0,19.0,27,13.333333333333334,12.0,65.0,300.0,42.0,18450388.13,37,6.082762530298219,0.00033739422235191127,5.547662485615922e-05,0.012324430372586475,0.0020416674544650867,0.00204639029179458,50000,115531
22,LF,4.0,246.0,10.0,245,1.469387755102041,10.0,5.0,300.0,42.0,7792748.32,45,6.708203932499369,0.0003943252219174721,5.879412200547605e-05,0.014350705960586593,0.0021592030624781235,0.0021539754811322654,50000,120671
23,LF,4.0,140.0,8.0,345,1.0434782608695652,35.0,69.0,300.0,42.0,58233015.13,30,5.477225575051661,0.0002689569848128956,4.911120559582827e-05,0.009728375306350862,0.0017872001219598796,0.0017983230348488086,50000,118671
24,LF,4.0,123.0,1.0,298,1.2080536912751678,13.0,57.0,300.0,42.0,5192410.26,44,6.6332495807108,0.00037298882728921894,5.624066705127459e-05,0.013521405337315037,0.00205698191283642,0.0020170193991239783,50000,125226
25,LF,4.0,134.0,19.0,278,1.2949640287769784,43.0,76.0,300.0,42.0,123224178.61,33,5.744562646538029,0.0003036437246963563,5.286561216913616e-05,0.010976003704217457,0.0019237552664703146,0.0019190427128619957,50000,115700
26,LF,4.0,216.0,3.0,188,1.9148936170212767,36.0,144.0,300.0,42.0,25268843.55,43,6.557438524302,0.000408171014162585,6.225819821861509e-05,0.014856387155771356,0.0022857799557221615,0.0022747442322083,50000,111383
27,LF,4.0,241.0,11.0,164,2.1951219512195124,15.0,29.0,300.0,42.0,20083881.4,49,7.0,0.000436424525276996,6.235996401026716e-05,0.01589329570620742,0.0022934971280390726,0.0022600283034839587,50000,118644
28,LF,4.0,247.0,11.0,29,12.413793103448276,21.0,70.0,300.0,42.0,11299573.41,35,5.916079783099616,0.00031189848149996437,5.272868681223002e-05,0.011378632229252545,0.0019372933191475533,0.0019273639776693802,50000,118370
29,LF,4.0,154.0,20.0,84,4.285714285714286,8.0,109.0,300.0,42.0,58740594.37,36,6.0,0.00032370607488400535,5.3959743909363664e-05,0.011708681805070622,0.001966007431307802,0.001959453437895633,50000,118320
