# LF noise: mean = 0.0022628192034284005 +- 0.00024368952720959624
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
107,LF,4.0,132.0,9.4,6,6.0,84.9,300.0,42.0,2617390.1,51,7.14142842854285,0.0004302998599416142,6.026699466021621e-05,0.015594829115343167,0.002206731928876838,0.0021905475754604347,50000,125850
108,LF,4.0,162.0,10.5,4,-13.0,27.2,300.0,42.0,2305842.34,47,6.855654600401044,0.00039508414451673644,5.764032839797794e-05,0.014325263408010654,0.002109860435573813,0.0020725814586275318,50000,126258
109,LF,4.0,127.0,11.6,40,44.0,62.6,300.0,42.0,10114036.97,26,5.0990195135927845,0.00022965154793976064,4.504354527972089e-05,0.008308387633755458,0.0016381953110897634,0.0015975884894360959,50000,120426
110,LF,4.0,130.0,9.4,8,33.0,7.1,300.0,42.0,1307888.92,64,8.0,0.000534611946906351,6.684435409733332e-05,0.019374009335503845,0.0024537381018196534,0.002399197034344429,50000,127123
111,LF,4.0,146.0,6.5,8,-38.0,101.6,300.0,42.0,2534761.63,50,7.0710678118654755,0.00042546673701050053,6.0182881805100036e-05,0.01543871226804626,0.0022059342408619156,0.0022280272287013743,50000,124630
112,LF,4.0,233.0,11.1,9,-40.0,3.3,300.0,42.0,4254545.67,50,7.0710678118654755,0.0004273431223397891,6.044835589632451e-05,0.01551127161452196,0.0022163038070224603,0.0022012060353670585,50000,124047
113,LF,4.0,152.0,13.6,36,35.0,23.0,300.0,42.0,5721602.32,38,6.164414002968976,0.00032815198618307427,5.3242015132608534e-05,0.0118994580528649,0.001945535627296503,0.001927425828022237,50000,122891
114,LF,4.0,238.0,13.8,33,-33.0,15.4,300.0,42.0,7601513.42,49,7.0,0.00042834414392363233,6.120512477922129e-05,0.01555914726852658,0.0022452679671830303,0.002199347543419306,50000,121192
115,LF,4.0,139.0,12.7,16,-38.0,118.6,300.0,42.0,9066203.0,27,5.196152422706632,0.0002387880181478894,4.596026191636376e-05,0.008642006349346809,0.001672467589612547,0.001650885682909939,50000,120230
116,LF,4.0,121.0,15.0,18,21.0,75.0,300.0,42.0,7818206.93,37,6.082762530298219,0.0003224738098973313,5.302291496319499e-05,0.011680889983061691,0.001935042497891926,0.0019145457363264442,50000,121896
