# [LF, 4, 225.5, 13.5, 11, 32.72727272727273, 9.7, 120.9, 300.0, 42.0, 10231269.68] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
448,"[204, 0]",1,0,0,0
449,"[204, 1]",2,0,0,0
450,"[204, 2]",34,158,64,0
451,"[205, 0]",1,158,64,0
452,"[206, 0]",1,2,1,0
453,"[207, 0]",1,158,64,0
454,"[208, 0]",1,0,0,0
455,"[208, 1]",2,158,64,0
456,"[209, 0]",1,2,1,0
457,"[210, 0]",1,158,64,0
458,"[211, 0]",1,41,18,0
459,"[212, 0]",1,0,0,0
460,"[212, 1]",2,158,64,0
461,"[213, 0]",1,41,18,0
462,"[214, 0]",1,0,0,0
463,"[214, 1]",5,158,64,13
464,"[215, 0]",1,0,0,0
465,"[215, 1]",2,0,0,0
466,"[215, 2]",21,2,1,0
467,"[216, 0]",1,41,18,0
468,"[217, 0]",1,158,64,0
469,"[218, 0]",1,0,0,0
470,"[218, 1]",2,158,64,6
471,"[219, 0]",1,0,0,0
472,"[219, 1]",2,2,1,0
473,"[220, 0]",1,2,1,0
474,"[221, 0]",1,0,0,0
475,"[221, 1]",2,158,64,0
476,"[222, 0]",1,0,0,0
477,"[222, 1]",2,0,0,0
478,"[222, 2]",20,57,26,0
479,"[223, 0]",1,0,0,0
480,"[223, 1]",8,41,18,0
481,"[223, 2]",6,0,0,0
482,"[223, 3]",5,0,0,0
483,"[223, 4]",3,0,0,0
484,"[223, 5]",2,0,0,0
485,"[223, 6]",62,0,0,0
486,"[223, 7]",53,156,64,0
487,"[223, 8]",36,41,18,0
488,"[223, 9]",32,0,0,0
489,"[223, 10]",227,41,18,0
490,"[223, 11]",127,0,0,0
491,"[223, 12]",396,41,18,0
492,"[224, 0]",1,0,0,0
493,"[224, 1]",2,158,64,0
494,"[225, 0]",1,0,0,0
495,"[225, 1]",2,0,0,0
496,"[225, 2]",23,0,0,0
497,"[225, 3]",36,2,1,0
498,"[226, 0]",1,0,0,0
499,"[226, 1]",2,41,18,0
500,"[227, 0]",1,0,0,0
501,"[227, 1]",2,0,0,0
502,"[227, 2]",16,2,1,0
503,"[228, 0]",1,0,0,0
504,"[228, 1]",2,158,64,-1
505,"[229, 0]",1,41,18,0
506,"[230, 0]",1,158,64,0
507,"[231, 0]",1,41,18,0
508,"[232, 0]",1,0,0,0
509,"[232, 1]",2,57,26,45
510,"[233, 0]",1,41,18,0
511,"[234, 0]",1,41,18,0
512,"[235, 0]",1,41,18,0
513,"[236, 0]",1,0,0,0
514,"[236, 1]",2,158,64,0
515,"[237, 0]",1,0,0,0
516,"[237, 1]",2,2,1,0
517,"[238, 0]",1,0,0,0
518,"[238, 1]",2,41,18,0
519,"[239, 0]",1,0,0,0
520,"[239, 1]",2,0,0,0
521,"[239, 2]",20,2,1,0
522,"[240, 0]",1,0,0,0
523,"[240, 1]",2,41,18,0
524,"[241, 0]",1,0,0,0
525,"[241, 1]",2,0,0,0
526,"[241, 2]",35,0,0,0
527,"[241, 3]",65,158,64,0
528,"[241, 4]",64,0,0,0
529,"[241, 5]",136,41,18,0
530,"[242, 0]",1,0,0,0
531,"[242, 1]",2,41,18,0
532,"[243, 0]",1,41,18,0
533,"[244, 0]",1,2,1,0
534,"[245, 0]",1,0,0,0
535,"[245, 1]",2,2,1,0
536,"[246, 0]",1,0,0,0
537,"[246, 1]",2,59,28,2
538,"[247, 0]",1,0,0,1
539,"[247, 1]",4,0,0,0
540,"[247, 2]",3,0,0,0
541,"[247, 3]",2,0,0,0
542,"[247, 4]",60,0,0,0
543,"[247, 5]",52,41,18,0
544,"[247, 6]",47,0,0,0
545,"[247, 7]",182,2,1,0
546,"[247, 8]",94,2,1,0
547,"[248, 0]",1,0,0,0
548,"[248, 1]",2,158,64,5
549,"[249, 0]",1,0,0,0
550,"[249, 1]",2,0,0,0
551,"[249, 2]",12,158,64,0
552,"[250, 0]",1,0,0,0
553,"[250, 1]",3,0,0,0
554,"[250, 2]",2,0,0,0
555,"[250, 3]",25,41,18,0
556,"[250, 4]",24,2,1,0
557,"[250, 5]",21,0,0,0
558,"[250, 6]",46,0,0,0
559,"[250, 7]",92,0,0,0
560,"[250, 8]",171,41,18,0
561,"[251, 0]",1,2,1,0
562,"[252, 0]",1,2,1,0
563,"[253, 0]",1,2,1,0
564,"[254, 0]",1,41,18,0
565,"[255, 0]",1,0,0,0
566,"[255, 1]",4,0,0,0
567,"[255, 2]",3,0,0,0
568,"[255, 3]",2,0,0,0
569,"[255, 4]",45,41,18,0
570,"[255, 5]",43,0,0,0
571,"[255, 6]",42,0,0,0
572,"[255, 7]",41,0,0,0
573,"[255, 8]",38,158,64,0
574,"[255, 9]",35,41,18,0
575,"[255, 10]",31,41,18,0
576,"[255, 11]",30,41,18,0
577,"[255, 12]",95,0,0,0
578,"[255, 13]",90,2,1,0
579,"[255, 14]",87,2,1,0
580,"[255, 15]",329,2,1,0
581,"[256, 0]",1,41,18,0
582,"[257, 0]",1,0,0,0
583,"[257, 1]",2,51,24,0
584,"[258, 0]",1,158,64,0
585,"[259, 0]",1,158,64,0
586,"[260, 0]",1,0,0,0
587,"[260, 1]",2,158,64,0
588,"[261, 0]",1,158,64,0
589,"[262, 0]",1,0,0,0
