# [LF, 4, 141.8, 4.4, 289, 1.245674740484429, 33.2, 62.2, 300.0, 42.0, 24318974.1] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
677,"[277, 0]",1,0,0,0
678,"[277, 1]",2,158,64,0
679,"[278, 0]",1,0,0,0
680,"[278, 1]",3,0,0,0
681,"[278, 2]",2,0,0,0
682,"[278, 3]",11,41,18,0
683,"[278, 4]",8,2,1,0
684,"[279, 0]",1,2,1,0
685,"[280, 0]",1,0,0,0
686,"[280, 1]",2,158,64,0
687,"[281, 0]",1,158,64,0
688,"[282, 0]",1,0,0,0
689,"[282, 1]",2,158,64,0
690,"[283, 0]",1,41,18,0
691,"[284, 0]",1,158,64,0
692,"[285, 0]",1,158,64,0
693,"[286, 0]",1,0,0,0
694,"[286, 1]",2,0,0,-1
695,"[286, 2]",51,57,26,5
696,"[287, 0]",1,0,0,0
697,"[287, 1]",2,158,64,0
698,"[288, 0]",1,156,64,0
699,"[289, 0]",1,156,64,0
700,"[290, 0]",1,0,0,0
701,"[290, 1]",2,57,26,0
702,"[291, 0]",1,158,64,0
703,"[292, 0]",1,57,26,0
704,"[293, 0]",1,0,0,0
705,"[293, 1]",2,158,64,0
706,"[294, 0]",1,0,0,0
707,"[294, 1]",2,0,0,0
708,"[294, 2]",16,59,28,0
709,"[295, 0]",1,0,0,0
710,"[295, 1]",2,2,1,0
711,"[296, 0]",1,41,18,0
712,"[297, 0]",1,158,64,0
713,"[298, 0]",1,2,1,0
714,"[299, 0]",1,0,0,0
715,"[299, 1]",2,2,1,0
716,"[300, 0]",1,2,1,0
717,"[301, 0]",1,0,0,0
718,"[301, 1]",2,158,64,1
719,"[302, 0]",1,0,0,0
720,"[302, 1]",5,0,0,0
721,"[302, 2]",4,0,0,0
722,"[302, 3]",2,0,0,0
723,"[302, 4]",26,0,0,-1
724,"[302, 5]",21,158,64,4
725,"[302, 6]",18,57,26,5
726,"[302, 7]",40,2,1,1
727,"[303, 0]",1,0,0,0
728,"[303, 1]",2,158,64,0
729,"[304, 0]",1,158,64,0
730,"[305, 0]",1,0,0,0
731,"[305, 1]",7,0,0,0
732,"[305, 2]",6,0,0,0
733,"[305, 3]",5,0,0,0
734,"[305, 4]",3,0,0,0
735,"[305, 5]",2,0,0,0
736,"[305, 6]",55,2,1,0
737,"[305, 7]",54,0,0,0
738,"[305, 8]",53,2,1,0
739,"[305, 9]",51,0,0,0
740,"[305, 10]",49,0,0,0
741,"[305, 11]",44,0,0,0
742,"[305, 12]",43,0,0,0
743,"[305, 13]",42,0,0,0
744,"[305, 14]",23,2,1,0
745,"[305, 15]",20,2,1,0
746,"[305, 16]",17,41,18,0
747,"[305, 17]",131,2,1,0
748,"[305, 18]",128,2,1,0
749,"[305, 19]",122,158,64,0
750,"[305, 20]",96,2,1,0
751,"[305, 21]",95,0,0,0
752,"[305, 22]",94,2,1,0
